VAR	TIER	TOTAL_FILES	TOTAL_REFS	TOP_FILES
SERVERLESS	t3	3	3	C:/aoe-unified-final/api/neurolink/routes.js|C:/aoe-unified-final/api/neurolink/multi-user-stream.js|C:/aoe-unified-final/api/neurolink/live-monetization-orchestrator.js
SIWE_SECRET	t0	1	1	C:/aoe-unified-final/api/siwe.js
SLACK_WEBHOOK_URL	t3	2	2	E:/BridgeAI/svg-engine/plugins/index.js|C:/aoe-unified-final/svg-engine/plugins/index.js
SMTP_BACKUP_PASS	t1	1	1	C:/aoe-unified-final/lib/mail.js
SMTP_BACKUP_USER	t3	1	1	C:/aoe-unified-final/lib/mail.js
SMTP_FROM	t3	1	1	C:/aoe-unified-final/lib/mail.js
SMTP_FROM_NAME	t3	2	2	C:/aoe-unified-final/lib/mail.js|C:/aoe-unified-final/leadgen-engine.js
STRIPE_SECRET_KEY	t1	1	1	C:/aoe-unified-final/brain.js
STUB_FIRST	t3	1	2	E:/BridgeAI/BridgeLiveWall/frontend/serve-no-cache.cjs
SUBSCRIPTION_PORT	t3	1	1	C:/aoe-unified-final/subscriptions/server.js
SUPABASE_ACCESS_TOKEN	t1	1	1	C:/aoe-unified-final/scripts/apply-supabase-schema.js
SUPABASE_ANON_KEY	t3	3	3	C:/aoe-unified-final/api/index.js|C:/aoe-unified-final/gateway.js|C:/aoe-unified-final/lib/supabase.js
SUPABASE_DB_PASSWORD	t1	1	1	C:/aoe-unified-final/scripts/apply-hardened-schema.js
SUPABASE_DB_URL	t1	2	2	C:/aoe-unified-final/lib/migrate-zero-trust.js|C:/aoe-unified-final/scripts/apply-supabase-schema.js
SUPABASE_SERVICE_KEY	t1	10	15	C:/aoe-unified-final/gateway.js|C:/aoe-unified-final/scripts/apply-hardened-schema.js|C:/aoe-unified-final/scripts/init-treasury-db.js
SUPABASE_SERVICE_ROLE_KEY	t3	1	1	C:/aoe-unified-final/public/migrations/005_lifecycle_engine_tables.js
SUPABASE_URL	t3	12	19	C:/aoe-unified-final/gateway.js|C:/aoe-unified-final/scripts/apply-hardened-schema.js|C:/aoe-unified-final/scripts/migrate-sqlite-to-supabase.js
